position,pos_rank,overall_rank,full_name,team,age,notes,tier
QB,1,6,Lamar Jackson,BAL,29,M,1
QB,2,7,Josh Allen,BUF,30,M,1
QB,3,14,Matthew Stafford,LAR,38,MRI,2
QB,4,15,Brock Purdy,SF,27,MU,2
QB,5,16,Caleb Williams,CHI,25,M ↑,2
QB,6,17,Drake Maye,NE,24,↑,2
QB,7,20,Dak Prescott,DAL,33,,3
QB,8,21,Joe Burrow,CIN,30,MI,3
QB,9,22,Justin Herbert,LAC,28,↑,3
QB,10,23,Baker Mayfield,TB,31,,3
QB,11,77,Trevor Lawrence,JAX,27,S,4
QB,12,78,Jalen Hurts,PHI,28,S,4
QB,13,79,Jared Goff,DET,32,,4
QB,14,80,Bo Nix,DEN,26,↑,4
QB,15,101,Jayden Daniels,WAS,26,↑,5
QB,16,102,Patrick Mahomes,KC,31,MI,5
QB,17,120,Sam Darnold,SEA,29,,5
QB,18,135,Jacoby Brissett,ARI,33,,5
QB,19,136,Jaxson Dart,NYG,23,S↕,5
QB,20,137,Kyler Murray,MIN,28,↕,5
QB,21,138,Malik Willis,MIA,27,↕,5
QB,22,247,Aaron Rodgers,PIT,42,R,6
QB,23,248,C.J. Stroud,HOU,25,↑,6
QB,24,249,Bryce Young,CAR,29,,6
QB,25,250,Cam Ward,TEN,24,↑,6
QB,26,251,Tyler Shough,NO,27,↑,6
QB,27,252,Jordan Love,GB,28,↕,6
QB,28,253,Fernando Mendoza,LV,22,↑,6
QB,29,260,Anthony Richardson,IND,25,↑,6
QB,30,296,Ty Simpson,LAR,23,↑,6
QB,31,297,Deshaun Watson,CLE,30,↕,6
QB,32,298,Geno Smith,NYJ,35,R,6
QB,33,299,Daniel Jones,IND,30,I,6
QB,34,300,Michael Penix,ATL,26,I,6
QB,35,301,Tua Tagovailoa,ATL,28,I ↔,6
QB,36,302,Kirk Cousins,LV,37,R,6
QB,37,366,Shedeur Sanders,CLE,25,,7
QB,38,367,Carson Beck,ARI,24,↕,7
QB,39,368,Cade Klubnik,NYJ,22,Z,7
QB,40,369,Mac Jones,SF,28,↔,7
QB,41,370,JJ McCarthy,MIN,23,,7
QB,42,371,Jalen Milroe,SEA,24,↑,7
QB,43,372,Trey Lance,LAC,26,↑,7
QB,44,373,Kurtis Rourke,SF,25,↑ Z,7
QB,45,376,Taylen Green,CLE,23,↑,7
QB,46,377,Tanner McKee,PHI,26,,7
QB,47,378,Garrett Nussmeier,KC,24,↑ U,7
QB,48,379,Will Howard,PIT,25,↑,7
QB,49,380,Justin Fields,KC,27,↔,7
QB,50,381,Joe Flacco,CIN,41,↔,7
QB,51,382,Davis Mills,HOU,28,↔,7
QB,52,383,Tyson Bagent,CHI,27,↑ U,7
QB,53,413,Diego Pavia,BAL,24,↑ U,7
QB,54,414,Skyler Thompson,BAL,28,↑ U,7
QB,55,415,Jameis Winston,NYG,32,↕,7
QB,56,416,Marcus Mariota,WAS,33,↔,7
QB,57,417,Andy Dalton,PHI,38,R,7
QB,58,418,Carson Wentz,MIN,33,R,7
QB,59,419,Garnder Minshew,ARI,30,↔,7
QB,60,420,Mitchell Trubisky,TEN,31,↔,7
QB,61,,Chad Kelly,FA,32,↑ O,8
QB,62,,Will Levis,TEN,27,↕,8
QB,63,,Joe Milton,DAL,26,↕,8
QB,64,,Kenny Pickett,CAR,27,↔,8
QB,65,,Spencer Rattler,NO,26,R,8
QB,66,,Luke Altmyer,DET,23,Z,8
QB,67,,Kyle McCord,GB,23,,8
QB,68,,Cole Payton,PHI,23,,8
QB,69,,Jalon Daniels,TB,23,,8
QB,70,,Jack Strand,ATL,21,Z,8
QB,71,,Sawyer Robertson,LV,23,,8
QB,72,,Joe Fagnano,BAL,24,↑ Z,8
QB,73,,Athan Kaliakmanis,WAS,22,Z,8
QB,74,,Mark Gronowski,MIA,24,,8
QB,75,,Tyrod Taylor,GB,36,R,8
QB,76,,Kyle Allen,BUF,30,,8
QB,77,,Will Grier CAR,,31,,8
QB,78,,Mason Rudolph,PIT,31,,8
QB,79,,Aidan O'Connell,LV,28,,8
QB,80,,Tommy DeVito,NE,27,,8
QB,81,,Quinn Ewers,MIA,23,,8
QB,82,,Drew Lock,SEA,30,,8
QB,83,,Tyler Huntley,BAL,28,,8
QB,84,,Jake Browning,TB,30,,8
QB,85,,Case Keenum,CHI,28,,8
QB,86,,Sam Howell,DAL,25,,8
QB,87,,Jake Haener,FA,25,,8
QB,88,,Russell Wilson,FA,38,,8
QB,89,,Stetson Bennett,LAR,29,,8
QB,90,,Max Brosmer,MIN,25,,8
QB,91,,Nick Mullens,FA,31,,8
QB,92,,Jarrett Stidham,DEN,30,,8
QB,93,,Trevor Siemian,ATL,24,,8
QB,94,,Josh Johnson,CIN,40,,8
QB,95,,Shane Buechele,BUF,28,,8
QB,96,,Joshua Dobbs,FA,31,,8
QB,97,,Easton Stick,IND,31,,8
QB,98,,Zach Wilson,,27,,8
QB,99,,Clayton Tune,,27,,8
QB,100,,Herndon Hooker,,28,↔,8
QB,101,,Jarren Hall,FA,28,,8
QB,102,,Cooper Rush,LAC,33,R,8
QB,103,,Taylor Heinicke,LAC,31,,8
QB,104,,Kyle Trask,TB,28,,8
QB,105,,Trace McSorley,FA,31,Z,8
QB,106,,Carter Bradley,LV,26,,8
QB,107,,Bailey Zappe,KC,27,Z,8
QB,108,,Tanner Mordecai,SF,27,,8
QB,109,,Austin Reed,CHI,26,,8
QB,110,,Nathan Peterman,FA,32,,8
QB,111,,Blaine Gabbert,FA,37,R,8
QB,112,,Sean Clifford,GB,28,,8
QB,113,,Brett Rypien,MIN,30,U,8
QB,114,,Seth Henigan,JAX,23,,8
QB,115,,John Wolford,JAX,31,,8
QB,116,,Cole Kelley,WAS,29,,8
QB,117,,Bryce Perkins,LAR,29,,8
QB,118,,Logan Woodside,CIN,31,,8
QB,119,,Dillon Gabriel,CLE,26,,8
QB,120,,Riley Leonard,IND,24,,8
QB,121,,Desmond Ridder,FA,27,↕,8
QB,122,,Mike White,FA,31,,8
QB,123,,Sam Hartman,FA,27,,8
QB,124,,Michael Pratt,FA,25,,8
QB,125,,Jack Plummer,FA,27,,8
QB,126,,Matt Corral,FA,27,U,8
QB,127,,Devin Leary,FA,27,,8
QB,128,,Emory Jones,FA,26,,8
QB,129,,Haynes King,CAR,25,,8
QB,130,,Drew Allar,PIT,22,,8
QB,131,,Bheren Morton,NE,24,,8
QB,132,,John Rhys,Plumlee  UFA,25,,8
QB,133,,Max Duggan,FA,25,,8
QB,134,,Kedon Slovis,FA,25,,8
QB,135,,Gavin Hardison,FA,24,,8
QB,136,,Taulia Tagovailo,FA,26,,8
QB,137,,Jason Bean,FA,28,,8
QB,138,,Rocky Lombardi,FA,28,,8
QB,139,,Kellen Mond,FA,27,,8
QB,140,,Ian Book,FA,29,,8
QB,141,,Graham Mertz,HOU,26,,8
QB,142,,Cam Miller,LV,25,,8
QB,143,,Ethan Garbers,CAR,24,,8
QB,144,,Payton Thorne,CIN,25,,8
QB,145,,D.J. Uiagalelei,LAC,25,,8
QB,146,,Brady Cook,NYJ,25,,8
QB,147,,Jake Retzlaff,SEA,22,,8
QB,148,,Chandler Morris,TB,22,,8
QB,149,,Kaidon Salter,TEN,22,,8
QB,150,,Joey Aguilar,JAX,22,,8
QB,151,,Jacob Clark,LV,22,,8
QB,152,,Matthew Caldwell,LAR,22,,8
QB,153,,Kyron Drones,GB,22,,8
RB,1,3,Jahmyr Gibbs,DET,24,,1
RB,2,4,Bijan Robinson,ATL,26,,1
RB,3,5,Christian McCaffrey,SF,30,MRI,1
RB,4,8,Ashton Jeanty,LV,23,,2
RB,5,9,Derrick Henry,BAL,32,MR,2
RB,6,10,James Cook,BUF,27,,2
RB,7,28,Jonathan Taylor,IND,27,,3
RB,8,29,Chase Brown,CIN,26,,3
RB,9,30,Kyren Williams,LAR,26,,3
RB,10,31,Breece Hall,NYJ,25,,3
RB,11,32,Cam Skattebo,NYG,24,I,3
RB,12,33,Jeremiyah Love,ARI,21,,3
RB,13,34,Saquon Barkley,PHI,29,MR,3
RB,14,45,Quinshon Judkins,CLE,23,I,3
RB,15,46,Rachaad White,WAS,27,U,3
RB,16,47,Josh Jacobs,GB,28,O,3
RB,17,48,Devon Achane,MIA,25,I,4
RB,18,56,Kenneth Walker,KC,25,M I,4
RB,19,57,Javonte Williams,DAL,26,,4
RB,20,58,Omarion Hampton,LAC,23,↕,4
RB,21,59,Rico Dowdle,PIT,27,,4
RB,22,60,Kenneth Gainwell,TB,27,U,4
RB,23,61,D'Andre Swift,CHI,27,,4
RB,24,62,Kyle Monangai,CHI,24,U,4
RB,25,70,TreVeyon Henderson,NE,24,↕,4
RB,26,71,Travis Etienne,NO,27,,4
RB,27,72,David Montgomery,HOU,28,,4
RB,28,73,Rhamondre Stevenson,NE,28,U,4
RB,29,82,Jaylen Warren,PIT,28,,4
RB,30,84,Tony Pollard,TEN,29,R,4
RB,31,97,Jacory Croskey-Merritt,WAS,25,↑,5
RB,32,98,Jadarian Price,SEA,22,↑,5
RB,33,99,Emanuel Wilson,SEA,27,,5
RB,34,100,Jonathon Brooks,CAR,22,MZI↑,5
RB,35,103,Keaton Mitchell,LAC,24,I↑,5
RB,36,114,RJ Harvey,DEN,25,↕,5
RB,37,119,Bhayshul Tuten,JAX,24,↑,5
RB,38,129,J.K. Dobbins,DEN,27,MI,5
RB,39,130,Woody Marks,HOU,25,,5
RB,40,131,Blake Corum,LAR,26,↑,5
RB,41,133,Chris Brooks,GB,26,U,5
RB,42,139,Jordan Mason,MIN,27,,5
RB,43,140,Chris Rodriguez,JAX,25,,5
